Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:06:01.206],3.79,22.72,0.19,4.27,133
[00:06:18.156],3.79,22.72,0.84,4.89,134
[00:06:18.360],3.76,22.57,1.69,38.24,134
[00:06:18.563],3.74,22.47,2.64,59.42,134
[00:06:18.764],3.73,22.38,3.44,77.05,134
[00:06:18.966],3.72,22.32,3.98,88.84,134
[00:06:19.574],3.73,22.41,3.02,67.60,135
[00:06:19.976],3.76,22.54,1.71,38.50,135
[00:06:20.176],3.77,22.60,1.17,26.36,135
[00:06:21.386],3.76,22.57,1.90,33.27,136
[00:06:21.795],3.77,22.61,1.01,22.84,136
[00:06:21.995],3.75,22.51,2.06,46.40,136
[00:06:22.399],3.76,22.57,1.35,30.48,136
[00:06:22.600],3.74,22.45,2.62,58.75,136
[00:06:24.015],3.74,22.42,2.75,61.75,137
[00:06:25.310],3.74,22.42,2.72,60.88,138
[00:06:26.581],3.73,22.38,2.90,64.89,139
[00:06:27.768],3.73,22.36,3.03,67.78,140
[00:06:28.251],3.75,22.48,1.96,43.94,141
[00:06:28.452],3.72,22.34,3.23,72.21,141
[00:06:28.654],3.74,22.41,2.52,56.39,141
[00:06:29.057],3.74,22.41,3.59,55.50,141
[00:06:29.263],3.74,22.42,2.45,54.99,141
[00:06:29.465],3.72,22.32,3.38,75.41,142
[00:06:29.667],3.73,22.40,2.61,58.45,142
[00:06:30.981],3.73,22.38,2.76,61.73,143
[00:06:32.245],3.73,22.41,2.38,53.29,144
[00:06:32.291],3.72,22.33,3.14,70.08,144
[00:06:33.415],3.72,22.33,3.19,71.23,145
[00:06:34.572],3.72,22.32,3.10,69.16,146
[00:06:35.740],3.72,22.33,3.07,68.55,147
[00:06:36.915],3.72,22.32,3.06,68.20,148
[00:06:38.094],3.72,22.32,3.04,67.96,149
[00:06:39.275],3.72,22.31,3.07,68.51,150
[00:06:40.163],3.74,22.47,1.58,35.36,150
[00:06:40.364],3.76,22.58,0.53,11.87,151
[00:06:48.032],3.78,22.65,1.08,6.00,151
[00:06:48.239],3.77,22.65,0.28,6.36,151
[00:07:00.649],3.78,22.65,0.45,10.22,152
[00:07:07.532],3.77,22.65,0.52,11.89,153
[00:07:13.876],3.77,22.59,1.03,23.32,154
[00:07:14.077],3.75,22.51,1.81,40.75,154
[00:07:14.681],3.74,22.43,2.43,54.47,155
[00:07:15.893],3.72,22.34,3.34,74.58,155
[00:07:16.095],3.74,22.43,2.37,53.17,156
[00:07:16.497],3.73,22.36,3.04,68.03,156
[00:07:16.698],3.74,22.43,2.36,52.99,156
[00:07:16.900],3.73,22.36,3.02,67.41,156
[00:07:17.308],3.74,22.42,2.44,54.71,156
